2004-01,93
2004-02,90
2004-03,86
2004-04,90
2004-05,85
2004-06,96
2004-07,94
2004-08,100
2004-09,90
2004-10,81
2004-11,73
2004-12,78
2005-01,84
2005-02,84
2005-03,83
2005-04,83
2005-05,81
2005-06,85
2005-07,86
2005-08,92
2005-09,83
2005-10,73
2005-11,70
2005-12,72
2006-01,79
2006-02,74
2006-03,75
2006-04,77
2006-05,78
2006-06,83
2006-07,85
2006-08,87
2006-09,77
2006-10,71
2006-11,67
2006-12,67
2007-01,76
2007-02,72
2007-03,73
2007-04,72
2007-05,69
2007-06,73
2007-07,73
2007-08,73
2007-09,63
2007-10,63
2007-11,55
2007-12,56
2008-01,64
2008-02,60
2008-03,59
2008-04,59
2008-05,58
2008-06,56
2008-07,59
2008-08,57
2008-09,55
2008-10,52
2008-11,44
2008-12,48
2009-01,53
2009-02,51
2009-03,51
2009-04,48
2009-05,46
2009-06,48
2009-07,50
2009-08,50
2009-09,45
2009-10,43
2009-11,38
2009-12,39
2010-01,44
2010-02,43
2010-03,44
2010-04,41
2010-05,39
2010-06,43
2010-07,45
2010-08,46
2010-09,42
2010-10,41
2010-11,38
2010-12,38
2011-01,52
2011-02,53
2011-03,51
2011-04,52
2011-05,49
2011-06,54
2011-07,53
